name	born	died	url	era
Giovanni Carlo Maria Clari	1677	1754	https://en.wikipedia.org/wiki/Giovanni_Carlo_Maria_Clari	Baroque-Classical
Jeremiah Clarke	1674	1707	https://en.wikipedia.org/wiki/Jeremiah_Clarke	Baroque
Jacob Clemens non Papa	1515	1555	https://en.wikipedia.org/wiki/Jacob_Clemens_non_Papa	Renaissance
Muzio Clementi	1752	1832	https://en.wikipedia.org/wiki/Muzio_Clementi	Classical-era
Pierre Clereau	1539	1570	https://en.wikipedia.org/wiki/Pierre_Clereau	Renaissance
Nycasius de Clibano	1457	1497	https://en.wikipedia.org/wiki/Nycasius_de_Clibano	Renaissance
Jheronimus de Clibano	1459	1503	https://en.wikipedia.org/wiki/Jheronimus_de_Clibano	Renaissance
Gioacchino Cocchi	1720	1804	https://en.wikipedia.org/wiki/Gioacchino_Cocchi	Classical-era
Carlo Coccia	1782	1873	https://en.wikipedia.org/wiki/Carlo_Coccia	Classical-Romantic
Adrianus Petit Coclico	1499	1562	https://en.wikipedia.org/wiki/Adrianus_Petit_Coclico	Renaissance
Martín Codax	1240	1270	https://en.wikipedia.org/wiki/Mart%C3%ADn_Codax	url-Medieval
Manuel Rodrigues Coelho	1555	1635	https://en.wikipedia.org/wiki/Manuel_Rodrigues_Coelho	Renaissance-Baroque
Gautier de Coincy	1177	1236	https://en.wikipedia.org/wiki/Gautier_de_Coincy	url-Medieval
François Colin de Blamont	1690	1760	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Colin_de_Blamont	Baroque-Classical
Lelio Colista	1629	1680	https://en.wikipedia.org/wiki/Lelio_Colista	Baroque
Pascal Collasse	1649	1709	https://en.wikipedia.org/wiki/Pascal_Collasse	Baroque
Giovanni Paolo Colonna	1637	1695	https://en.wikipedia.org/wiki/Giovanni_Paolo_Colonna	Baroque
Joan Baptista Comes	1568	1643	https://en.wikipedia.org/wiki/Joan_Baptista_Comes	Renaissance
Loyset Compère	1445	1518	https://en.wikipedia.org/wiki/Loyset_Comp%C3%A8re	Renaissance
Giovanni Battista Conforti	1550	1570	https://en.wikipedia.org/wiki/Giovanni_Battista_Conforti	Renaissance
Francesco Bartolomeo Conti	1681	1732	https://en.wikipedia.org/wiki/Francesco_Bartolomeo_Conti	Baroque
Girolamo Conversi	1572	1575	https://en.wikipedia.org/wiki/Girolamo_Conversi	Renaissance
Benjamin Cooke	1734	1793	https://en.wikipedia.org/wiki/Benjamin_Cooke	Classical-era
John Coprario	1575	1626	https://en.wikipedia.org/wiki/John_Coprario	Renaissance-Baroque
Francesco Corbetta	1615	1681	https://en.wikipedia.org/wiki/Francesco_Corbetta	Baroque
Arcangelo Corelli	1653	1713	https://en.wikipedia.org/wiki/Arcangelo_Corelli	Baroque
Johannes Cornago	1400	1475	https://en.wikipedia.org/wiki/Juan_Cornago	Renaissance
Peeter Cornet	1580	1633	https://en.wikipedia.org/wiki/Peeter_Cornet	Renaissance-Baroque
Francisco Correa de Arauxo	1584	1654	https://en.wikipedia.org/wiki/Francisco_Correa_de_Arauxo	Baroque
Manuel Correia	1600	1653	https://en.wikipedia.org/wiki/Manuel_Correia	Renaissance-Baroque
Gaspard Corrette	1670	1733	https://en.wikipedia.org/wiki/Gaspard_Corrette	Baroque
Michel Corrette	1707	1795	https://en.wikipedia.org/wiki/Michel_Corrette	Baroque-Classical
Francesco Corteccia	1502	1571	https://en.wikipedia.org/wiki/Francesco_Corteccia	Renaissance
Napoléon Coste	1805	1883	https://en.wikipedia.org/wiki/Napol%C3%A9on_Coste	Romantic-era
Guillaume Costeley	1530	1606	https://en.wikipedia.org/wiki/Guillaume_Costeley	Renaissance-Baroque
François Couperin	1668	1773	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Couperin	Baroque
Louis Couperin	1626	1661	https://en.wikipedia.org/wiki/Louis_Couperin	Baroque
Joachim Thibault de Courville	1567	1581	https://en.wikipedia.org/wiki/Joachim_Thibault_de_Courville	Renaissance
Chiara Margarita Cozzolani	1602	1678	https://en.wikipedia.org/wiki/Chiara_Margarita_Cozzolani	Baroque
Johann Baptist Cramer	1771	1858	https://en.wikipedia.org/wiki/Johann_Baptist_Cramer	Classical-Romantic
Thomas Crecquillon	1515	1557	https://en.wikipedia.org/wiki/Thomas_Crecquillon	Renaissance
William Croft	1678	1727	https://en.wikipedia.org/wiki/William_Croft	Baroque
