name	born	died	url
Anna Amalia	1723	1787	https://en.wikipedia.org/wiki/Princess_Anna_Amalia_of_Prussia
Anna Amalia	1739	1807	https://en.wikipedia.org/wiki/Duchess_Anna_Amalia_of_Brunswick-Wolfenb%C3%BCttel
Lucia Contini Anselmi	1876	1913	https://en.wikipedia.org/wiki/Lucia_Contini_Anselmi
Conrad Ansorge	1862	1930	https://en.wikipedia.org/wiki/Conrad_Ansorge
Elizabeth Anspach	1750	1828	https://en.wikipedia.org/wiki/Elizabeth_Anspach
John Antes	1740	1811	https://en.wikipedia.org/wiki/John_Antes
George Antheil	1900	1959	https://en.wikipedia.org/wiki/George_Antheil
Andrea Antico	1480	1538	https://en.wikipedia.org/wiki/Andrea_Antico
John Antill	1904	1986	https://en.wikipedia.org/wiki/John_Antill
Antonio da Cividale	1392	1421	https://en.wikipedia.org/wiki/Antonio_da_Cividale
Antonio José	1902	1936	https://en.wikipedia.org/wiki/Antonio_Jos%C3%A9
Giovanni D	1906	1974	https://en.wikipedia.org/wiki/Giovanni_D%27Anzi
David August von Apell	1754	1832	https://en.wikipedia.org/w/index.php?title=David_August_von_Apell&action=edit&redlink=1
Denis ApIvor	1916	2004	https://en.wikipedia.org/wiki/Denis_ApIvor
Giuseppe Apolloni	1822	1889	https://en.wikipedia.org/wiki/Giuseppe_Apolloni
Hans Erich Apostel	1901	1972	https://en.wikipedia.org/wiki/Hans_Erich_Apostel
Dina Appeldoorn	1884	1938	https://en.wikipedia.org/wiki/Dina_Appeldoorn
Benedictus Appenzeller	1488	1558	https://en.wikipedia.org/wiki/Benedictus_Appenzeller
Adelaide Orsola Appignani	1807	1884	https://en.wikipedia.org/wiki/Adelaide_Orsola_Appignani
Louis Applebaum	1918	2000	https://en.wikipedia.org/wiki/Louis_Applebaum
Thomas Appleby	1563	1564	https://en.wikipedia.org/wiki/Thomas_Appleby_(composer)
Francesco Araja	1709	1762	https://en.wikipedia.org/wiki/Francesco_Araja
Jesús Arámbarri	1902	1960	https://en.wikipedia.org/wiki/Jes%C3%BAs_Ar%C3%A1mbarri
Pedro Aranaz	1742	1821	https://en.wikipedia.org/wiki/Pedro_Aranaz
Juan de Araujo	1646	1712	https://en.wikipedia.org/wiki/Juan_de_Araujo
Jean	1825	1889	https://en.wikipedia.org/wiki/Jean-Baptiste_Arban
Chaya Arbel	1921	2007	https://en.wikipedia.org/wiki/Chaya_Arbel
Jacques Arcadelt	1507	1568	https://en.wikipedia.org/wiki/Jacques_Arcadelt
Julián Arcas	1832	1882	https://en.wikipedia.org/wiki/Juli%C3%A1n_Arcas
Frederic Archer	1838	1901	https://en.wikipedia.org/wiki/Frederic_Archer
Violet Archer	1913	2000	https://en.wikipedia.org/wiki/Violet_Archer
José Ardévol	1911	1981	https://en.wikipedia.org/wiki/Jos%C3%A9_Ard%C3%A9vol
Luigi Arditi	1822	1903	https://en.wikipedia.org/wiki/Luigi_Arditi
Sven Arefeldt	1908	1956	https://en.wikipedia.org/wiki/Sven_Arefeldt
Bülent Arel	1919	1990	https://en.wikipedia.org/wiki/B%C3%BClent_Arel
Anton Arensky	1861	1906	https://en.wikipedia.org/wiki/Anton_Arensky
Paolo Aretino	1508	1584	https://en.wikipedia.org/wiki/Paolo_Aretino
Isabel Aretz	1913	2005	https://en.wikipedia.org/wiki/Isabel_Aretz
Attilio Ariosti	1666	1729	https://en.wikipedia.org/wiki/Attilio_Ariosti
Rodolfo Arizaga	1926	1985	https://en.wikipedia.org/wiki/Rodolfo_Ar%C3%ADzaga
Cecilia Arizti	1856	1930	https://en.wikipedia.org/wiki/Cecilia_Arizti
Marian Arkwright	1863	1922	https://en.wikipedia.org/wiki/Marian_Arkwright
Albert Arlen	1905	1993	https://en.wikipedia.org/wiki/Albert_Arlen
Harold Arlen	1905	1986	https://en.wikipedia.org/wiki/Harold_Arlen
Jacque Armand	1892	1978	https://en.wikipedia.org/w/index.php?title=Jacque_Armand&action=edit&redlink=1
Pietro Armanini	1844	1895	https://en.wikipedia.org/wiki/Pietro_Armanini
Andreas Armsdorff	1670	1699	https://en.wikipedia.org/wiki/Andreas_Armsdorff
Leo Arnaud	1904	1991	https://en.wikipedia.org/wiki/Leo_Arnaud
Desi Arnaz	1917	1986	https://en.wikipedia.org/wiki/Desi_Arnaz
Michael Arne	1741	1786	https://en.wikipedia.org/wiki/Michael_Arne
Thomas Arne	1710	1778	https://en.wikipedia.org/wiki/Thomas_Arne
Richard Arnell	1917	2009	https://en.wikipedia.org/wiki/Richard_Arnell
Blaž Arnič	1901	1970	https://en.wikipedia.org/wiki/Bla%C5%BE_Arni%C4%8D
Ralf Arnie	1924	2003	https://en.wikipedia.org/w/index.php?title=Ralf_Arnie&action=edit&redlink=1
Ernst Arnold	1890	1962	https://en.wikipedia.org/w/index.php?title=Ernst_Arnold&action=edit&redlink=1
Malcolm Arnold	1921	2006	https://en.wikipedia.org/wiki/Malcolm_Arnold
Samuel Arnold	1740	1802	https://en.wikipedia.org/wiki/Samuel_Arnold_(composer)
Yuri Karlovich Arnold	1811	1898	https://en.wikipedia.org/wiki/Yuri_Karlovich_Arnold
Robert Sterling Arnold	1905	2003	https://en.wikipedia.org/wiki/Robert_Sterling_Arnold
Juan Crisóstomo Arriaga	1806	1826	https://en.wikipedia.org/wiki/Juan_Cris%C3%B3stomo_Arriaga
Emilio Arrieta	1823	1894	https://en.wikipedia.org/wiki/Emilio_Arrieta
Claude Arrieu	1903	1990	https://en.wikipedia.org/wiki/Claude_Arrieu
Nikolai Artsybushev	1858	1937	https://en.wikipedia.org/wiki/Nikolai_Artsybushev
Giovanni Artusi	1540	1613	https://en.wikipedia.org/wiki/Giovanni_Artusi
Alexander Arutiunian	1920	2012	https://en.wikipedia.org/wiki/Alexander_Arutiunian
Elena Asachi	1789	1877	https://en.wikipedia.org/wiki/Elena_Asachi
Boris Asafyev	1884	1949	https://en.wikipedia.org/wiki/Boris_Asafyev
Joseph Ascher	1829	1869	https://en.wikipedia.org/wiki/Joseph_Ascher
Leo Ascher	1880	1942	https://en.wikipedia.org/wiki/Leo_Ascher
Vicente Asencio	1908	1979	https://en.wikipedia.org/wiki/Vicente_Asencio
Thomas Ashwell	1478	1513	https://en.wikipedia.org/wiki/Thomas_Ashwell
Gianmatteo Asola	1532	1609	https://en.wikipedia.org/wiki/Gianmatteo_Asola
Sören Aspelin	1906	1973	https://en.wikipedia.org/w/index.php?title=S%C3%B6ren_Aspelin&action=edit&redlink=1
Franz Asplmayr	1728	1786	https://en.wikipedia.org/wiki/Franz_Asplmayr
Caterina Assandra	1590	1618	https://en.wikipedia.org/wiki/Caterina_Assandra
Charles d	1605	1677	https://en.wikipedia.org/wiki/Charles_Coypeau_d%27Assoucy
Edwin Astley	1922	1998	https://en.wikipedia.org/wiki/Edwin_Astley
Fèlix Astol i Artés	1813	1901	https://en.wikipedia.org/wiki/F%C3%A9lix_Astol_Art%C3%A9s
Hugh Aston	1485	1558	https://en.wikipedia.org/wiki/Hugh_Aston
Emanuele d	1680	1757	https://en.wikipedia.org/wiki/Emanuele_d%27Astorga
Esmeralda Athanasiu	1834	1917	https://en.wikipedia.org/wiki/Esmeralda_Athanasiu-Gardeev
Chet Atkins	1924	2001	https://en.wikipedia.org/wiki/Chet_Atkins
Ivor Atkins	1869	1953	https://en.wikipedia.org/wiki/Ivor_Atkins
Pierre Attaingnant	1551	1552	https://en.wikipedia.org/wiki/Pierre_Attaingnant
Kurt Atterberg	1887	1974	https://en.wikipedia.org/wiki/Kurt_Atterberg
Thomas Attwood	1765	1838	https://en.wikipedia.org/wiki/Thomas_Attwood_(composer)
Daniel Auber	1782	1871	https://en.wikipedia.org/wiki/Daniel_Auber
Jacques Aubert	1689	1753	https://en.wikipedia.org/wiki/Jacques_Aubert
Louis Aubert	1877	1968	https://en.wikipedia.org/wiki/Louis_Aubert
Tony Aubin	1907	1981	https://en.wikipedia.org/wiki/Tony_Aubin
Edmond Audran	1842	1901	https://en.wikipedia.org/wiki/Edmond_Audran
Leopold Auer	1845	1930	https://en.wikipedia.org/wiki/Leopold_Auer
Marianna von Auenbrugger	1759	1782	https://en.wikipedia.org/wiki/Marianna_von_Auenbrugger
Josepha Barbara Auernhammer	1758	1820	https://en.wikipedia.org/wiki/Josepha_Barbara_Auernhammer
May Aufderheide	1888	1972	https://en.wikipedia.org/wiki/May_Aufderheide
Benedikt Anton Aufschnaiter	1665	1742	https://en.wikipedia.org/wiki/Benedikt_Anton_Aufschnaiter
Pietro Auletta	1698	1771	https://en.wikipedia.org/wiki/Pietro_Auletta
Tor Aulin	1866	1914	https://en.wikipedia.org/wiki/Tor_Aulin
Valborg Aulin	1860	1928	https://en.wikipedia.org/wiki/Valborg_Aulin
Georges Auric	1899	1983	https://en.wikipedia.org/wiki/Georges_Auric
Dorothea Austin	1921	2011	https://en.wikipedia.org/wiki/Dorothea_Austin
Frederic Austin	1872	1952	https://en.wikipedia.org/wiki/Frederic_Austin
Charles Avison	1709	1770	https://en.wikipedia.org/wiki/Charles_Avison
Giuseppe Avitrano	1670	1756	https://en.wikipedia.org/wiki/Giuseppe_Avitrano
Pedro António Avondano	1714	1782	https://en.wikipedia.org/wiki/Pedro_Ant%C3%B3nio_Avondano
Slavko Avsenik	1929	2015	https://en.wikipedia.org/wiki/Slavko_Avsenik
Aaron Avshalomov	1894	1965	https://en.wikipedia.org/wiki/Aaron_Avshalomov
Jacob Avshalomov	1919	2013	https://en.wikipedia.org/wiki/Jacob_Avshalomov
Daniel Ayala Pérez	1906	1975	https://en.wikipedia.org/wiki/Daniel_Ayala_P%C3%A9rez
Héctor Ayala	1914	1990	https://en.wikipedia.org/wiki/Hector_Ayala
Nat Ayer	1887	1952	https://en.wikipedia.org/wiki/Nat_Ayer
Florence Aylward	1862	1950	https://en.wikipedia.org/wiki/Florence_Aylward
Frederick Ayres	1876	1926	https://en.wikipedia.org/wiki/Frederick_Ayres
Artemi Ayvazyan	1902	1975	https://en.wikipedia.org/wiki/Artemi_Ayvazyan
Filippo Azzaiolo	1557	1569	https://en.wikipedia.org/wiki/Filippo_Azzaiolo
Kees van Baaren	1906	1970	https://en.wikipedia.org/wiki/Kees_van_Baaren
Milton Babbitt	1916	2011	https://en.wikipedia.org/wiki/Milton_Babbitt
William Babell	1690	1723	https://en.wikipedia.org/wiki/William_Babell
Stanley Babin	1932	2010	https://en.wikipedia.org/wiki/Stanley_Babin
Salvador Bacarisse	1898	1963	https://en.wikipedia.org/wiki/Salvador_Bacarisse
Grażyna Bacewicz	1909	1969	https://en.wikipedia.org/wiki/Gra%C5%BCyna_Bacewicz
Carl Philipp Emanuel Bach	1714	1788	https://en.wikipedia.org/wiki/Carl_Philipp_Emanuel_Bach
Georg Christoph Bach	1642	1697	https://en.wikipedia.org/wiki/Georg_Christoph_Bach
Gottfried Heinrich Bach	1724	1763	https://en.wikipedia.org/wiki/Gottfried_Heinrich_Bach
Heinrich Bach	1615	1692	https://en.wikipedia.org/wiki/Heinrich_Bach
